stabf,new_stabf
0,8.5847334e-13
1,0.00010360416
0,1.746259e-08
0,2.846278e-09
0,7.745808e-11
1,9.321556e-09
0,3.826537e-09
0,3.4165433e-09
1,1.2009802e-07
0,6.459368e-12
1,3.9026062e-08
0,4.7235567e-09
1,8.408521e-06
0,1.08960224e-13
0,1.224644e-11
0,1.8258572e-10
0,4.1689808e-11
1,1.2854032e-06
0,4.0031126e-10
0,1.0712115e-08
0,2.4569469e-09
1,6.2403833e-06
1,2.0837113e-10
1,2.7502605e-08
0,6.9562606e-11
1,1.6884888e-08
0,4.6656745e-10
1,2.222218e-07
1,6.612542e-10
1,4.2425237e-11
0,2.8997783e-06
1,3.3530495e-07
0,2.5381906e-08
0,1.6796907e-08
1,1.1962029e-10
0,5.313515e-07
0,1.0036949e-09
0,1.1425764e-11
1,2.3508985e-06
1,5.1431875e-10
0,3.4129574e-11
0,2.3428096e-11
0,2.2639137e-11
0,1.0553045e-07
0,7.253113e-10
1,1.18916335e-08
0,4.2613726e-10
0,8.078945e-09
0,3.912477e-10
0,1.2562483e-09
1,2.1017351e-08
0,1.6134306e-08
0,7.0896973e-12
0,2.380961e-11
0,2.341271e-09
0,2.2869765e-11
0,6.407446e-07
1,1.3712658e-09
0,5.773164e-10
0,3.022528e-09
1,3.1724423e-10
0,5.249164e-09
1,1.2079613e-08
0,2.2916696e-08
0,1.5942405e-09
0,2.7433367e-10
1,1.8092574e-06
0,1.3812882e-09
0,2.6059718e-07
1,9.945553e-10
0,1.93797e-06
0,3.8473544e-11
0,1.6061811e-12
1,3.3851182e-07
0,2.4032445e-07
0,3.1278495e-09
0,3.5247924e-14
1,7.966122e-10
0,1.136698e-06
1,1.6287056e-07
0,1.6541558e-10
0,1.1045589e-10
0,5.6123377e-09
1,1.7746476e-13
0,6.852918e-08
0,1.7709281e-13
1,2.6095671e-08
0,8.7284063e-10
1,2.5216491e-12
1,7.074207e-05
0,9.989533e-09
1,1.84648e-05
0,4.017725e-09
1,2.7581426e-10
0,1.7064504e-09
0,5.6064874e-08
1,7.084212e-05
1,0.020808686
0,2.2630563e-07
0,3.260227e-08
1,4.931381e-07
0,2.093675e-10
0,2.4362556e-09
1,1.6241477e-08
0,3.8395835e-11
1,4.903608e-06
1,0.99717283
0,5.118785e-08
0,1.2411181e-06
0,4.141373e-09
0,7.769402e-07
1,1.6198699e-07
0,5.0233845e-10
0,1.6004078e-08
0,3.4520937e-08
0,2.6683895e-09
1,4.683279e-08
1,4.483484e-08
1,0.9730213
0,3.36344e-09
0,5.3262363e-09
0,1.6075752e-07
1,2.6050424e-07
0,6.606998e-09
0,1.6685945e-08
1,0.021413047
0,4.7848e-09
1,1.4819615e-10
0,1.7974385e-08
1,2.138855e-12
0,7.48797e-08
1,5.562357e-09
0,5.2844873e-12
0,4.283935e-08
0,2.4369582e-08
1,4.236079e-06
0,1.18983536e-07
1,0.13291799
1,2.7616988e-08
1,5.4542676e-10
1,1.2050995e-06
1,1.3105075e-07
0,1.4697678e-09
0,5.3243495e-12
1,0.0001388135
0,1.017298e-09
1,0.074942775
0,9.456077e-09
0,3.9615284e-13
0,1.2801105e-07
0,1.510077e-08
0,4.4340182e-10
1,3.3229933e-06
0,1.8591638e-07
0,4.2843027e-08
1,5.1991638e-09
0,1.5151048e-09
1,0.19312179
0,1.0392215e-10
0,8.750068e-08
1,1.1392093e-06
1,6.169481e-06
1,5.840526e-10
0,8.5219204e-10
1,0.00020059902
1,4.8042423e-09
0,3.3648054e-10
0,3.628454e-08
0,1.9887601e-08
0,2.292719e-08
0,5.2317404e-07
0,8.520661e-08
0,2.4532022e-07
0,2.6955536e-08
0,4.838785e-08
0,3.8180143e-09
0,6.443381e-13
1,2.6892126e-11
1,2.9498336e-08
0,6.777587e-09
0,2.7355762e-11
1,1.714687e-07
0,1.5138887e-09
0,1.3944027e-07
0,3.4131123e-08
1,4.019335e-05
1,2.0968415e-05
1,1.9889104e-09
1,0.62325394
0,1.3994593e-05
1,3.7221155e-09
1,1.4205537e-07
0,6.952604e-10
0,1.5303973e-08
0,8.657451e-08
0,2.426564e-08
1,2.2007356e-07
1,6.716693e-07
0,4.220381e-09
0,5.1368028e-11
0,1.03601e-09
1,2.137942e-08
0,4.948467e-10
0,3.8756646e-08
0,1.5322126e-10
0,4.134465e-10
1,5.647622e-06
0,4.3433326e-10
1,1.4930841e-06
0,2.4929747e-08
